timesteps,Groningen
2016-01-01 00:00:00,145030.5
2016-01-01 01:00:00,148557.9
2016-01-01 02:00:00,164872.9
2016-01-01 03:00:00,202567.8
2016-01-01 04:00:00,268694.5
2016-01-01 05:00:00,317893.6
2016-01-01 06:00:00,315173.1
2016-01-01 07:00:00,304435.6
2016-01-01 08:00:00,281223.4
2016-01-01 09:00:00,263215.9
2016-01-01 10:00:00,248985.4
2016-01-01 11:00:00,241509.8
2016-01-01 12:00:00,236756.1
2016-01-01 13:00:00,237454.2
2016-01-01 14:00:00,241065.8
2016-01-01 15:00:00,248680.2
2016-01-01 16:00:00,259143
2016-01-01 17:00:00,262071
2016-01-01 18:00:00,264488.6
2016-01-01 19:00:00,258478.1
2016-01-01 20:00:00,234366.4
2016-01-01 21:00:00,183826.4
2016-01-01 22:00:00,147358.9
2016-01-01 23:00:00,151660.3
2016-01-02 00:00:00,159996.2
2016-01-02 01:00:00,164026.8
2016-01-02 02:00:00,176766.5
2016-01-02 03:00:00,209211.9
2016-01-02 04:00:00,279135.4
2016-01-02 05:00:00,335217.6
2016-01-02 06:00:00,332653.5
2016-01-02 07:00:00,321511.1
2016-01-02 08:00:00,302965.8
2016-01-02 09:00:00,286931.8
2016-01-02 10:00:00,272728.5
2016-01-02 11:00:00,263557.7
2016-01-02 12:00:00,258805.7
2016-01-02 13:00:00,259407
2016-01-02 14:00:00,263100.6
2016-01-02 15:00:00,270955.6
2016-01-02 16:00:00,278878.2
2016-01-02 17:00:00,282040.1
2016-01-02 18:00:00,282047.6
2016-01-02 19:00:00,274178.3
2016-01-02 20:00:00,250149.3
2016-01-02 21:00:00,199960.1
2016-01-02 22:00:00,163132.5
2016-01-02 23:00:00,150893.8
2016-01-03 00:00:00,155112.2
2016-01-03 01:00:00,157893.8
2016-01-03 02:00:00,174088.2
2016-01-03 03:00:00,208730.7
2016-01-03 04:00:00,280157
2016-01-03 05:00:00,334143.5
2016-01-03 06:00:00,325027.6
2016-01-03 07:00:00,310750.1
2016-01-03 08:00:00,291451.7
2016-01-03 09:00:00,275434.3
2016-01-03 10:00:00,264566.4
2016-01-03 11:00:00,254633.7
2016-01-03 12:00:00,242937.4
2016-01-03 13:00:00,243590.4
2016-01-03 14:00:00,249478.8
2016-01-03 15:00:00,260361.8
2016-01-03 16:00:00,271291.6
2016-01-03 17:00:00,277387.6
2016-01-03 18:00:00,275006
2016-01-03 19:00:00,268848.6
2016-01-03 20:00:00,248000.7
2016-01-03 21:00:00,201021.1
2016-01-03 22:00:00,161557.1
2016-01-03 23:00:00,168595
2016-01-04 00:00:00,178831.3
2016-01-04 01:00:00,177141.3
2016-01-04 02:00:00,197466.4
2016-01-04 03:00:00,240738.9
2016-01-04 04:00:00,318998.9
2016-01-04 05:00:00,333870.3
2016-01-04 06:00:00,320620.5
2016-01-04 07:00:00,308036.2
2016-01-04 08:00:00,294160.2
2016-01-04 09:00:00,280026.8
2016-01-04 10:00:00,271902.4
2016-01-04 11:00:00,263419.6
2016-01-04 12:00:00,259445.5
2016-01-04 13:00:00,264604.2
2016-01-04 14:00:00,269292.2
2016-01-04 15:00:00,278475.4
2016-01-04 16:00:00,292621.6
2016-01-04 17:00:00,297115.9
2016-01-04 18:00:00,295861.4
2016-01-04 19:00:00,290999.3
2016-01-04 20:00:00,268441.1
2016-01-04 21:00:00,218780.4
2016-01-04 22:00:00,183220.9
2016-01-04 23:00:00,163114
2016-01-05 00:00:00,172403.3
2016-01-05 01:00:00,176714.7
2016-01-05 02:00:00,193134.5
2016-01-05 03:00:00,228268.5
2016-01-05 04:00:00,301946.7
2016-01-05 05:00:00,353798.9
2016-01-05 06:00:00,348875.3
2016-01-05 07:00:00,335463.2
2016-01-05 08:00:00,317954.8
2016-01-05 09:00:00,301723.9
2016-01-05 10:00:00,285640.5
2016-01-05 11:00:00,277896
2016-01-05 12:00:00,272677.2
2016-01-05 13:00:00,273214.1
2016-01-05 14:00:00,277298.9
2016-01-05 15:00:00,287345.9
2016-01-05 16:00:00,296939
2016-01-05 17:00:00,301825.5
2016-01-05 18:00:00,301294.8
2016-01-05 19:00:00,291791.6
2016-01-05 20:00:00,266139.1
2016-01-05 21:00:00,214238.6
2016-01-05 22:00:00,175206.9
2016-01-05 23:00:00,177724.2
2016-01-06 00:00:00,186811.9
2016-01-06 01:00:00,191363.1
2016-01-06 02:00:00,206747.1
2016-01-06 03:00:00,240337
2016-01-06 04:00:00,318625.2
2016-01-06 05:00:00,373932.4
2016-01-06 06:00:00,369449.4
2016-01-06 07:00:00,359188.7
2016-01-06 08:00:00,341111.2
2016-01-06 09:00:00,323873.3
2016-01-06 10:00:00,308568.6
2016-01-06 11:00:00,299298.5
2016-01-06 12:00:00,294460.3
2016-01-06 13:00:00,295230.9
2016-01-06 14:00:00,299461
2016-01-06 15:00:00,308443.7
2016-01-06 16:00:00,315956.5
2016-01-06 17:00:00,316228.8
2016-01-06 18:00:00,314796
2016-01-06 19:00:00,306486.1
2016-01-06 20:00:00,278849.7
2016-01-06 21:00:00,225618.8
2016-01-06 22:00:00,187401.8
2016-01-06 23:00:00,171801.3
2016-01-07 00:00:00,180580.7
2016-01-07 01:00:00,185193.4
2016-01-07 02:00:00,200305.1
2016-01-07 03:00:00,233317
2016-01-07 04:00:00,309539.4
2016-01-07 05:00:00,363452.7
2016-01-07 06:00:00,359014.3
2016-01-07 07:00:00,348665.3
2016-01-07 08:00:00,330892
2016-01-07 09:00:00,314232.3
2016-01-07 10:00:00,299199.2
2016-01-07 11:00:00,290421.8
2016-01-07 12:00:00,285764.3
2016-01-07 13:00:00,286371.9
2016-01-07 14:00:00,290563.4
2016-01-07 15:00:00,299593.3
2016-01-07 16:00:00,306822.1
2016-01-07 17:00:00,307348.2
2016-01-07 18:00:00,305998.2
2016-01-07 19:00:00,298062
2016-01-07 20:00:00,271181.1
2016-01-07 21:00:00,218899
2016-01-07 22:00:00,181409.6
2016-01-07 23:00:00,171270.9
2016-01-08 00:00:00,180254.8
2016-01-08 01:00:00,184681.2
2016-01-08 02:00:00,199338.1
2016-01-08 03:00:00,231642.1
2016-01-08 04:00:00,308363.9
2016-01-08 05:00:00,361462.2
2016-01-08 06:00:00,357292.6
2016-01-08 07:00:00,345948.6
2016-01-08 08:00:00,329771
2016-01-08 09:00:00,313431.9
2016-01-08 10:00:00,298462.1
2016-01-08 11:00:00,289386.2
2016-01-08 12:00:00,285287
2016-01-08 13:00:00,285881.1
2016-01-08 14:00:00,290191.6
2016-01-08 15:00:00,299266
2016-01-08 16:00:00,306101.7
2016-01-08 17:00:00,306246
2016-01-08 18:00:00,304494.9
2016-01-08 19:00:00,296913.1
2016-01-08 20:00:00,270327.5
2016-01-08 21:00:00,217989.8
2016-01-08 22:00:00,180703.7
2016-01-08 23:00:00,168594.7
2016-01-09 00:00:00,176905.8
2016-01-09 01:00:00,181717.9
2016-01-09 02:00:00,193644.6
2016-01-09 03:00:00,224495.4
2016-01-09 04:00:00,300001.5
2016-01-09 05:00:00,358481
2016-01-09 06:00:00,354998.7
2016-01-09 07:00:00,343089.2
2016-01-09 08:00:00,327083.6
2016-01-09 09:00:00,311783.2
2016-01-09 10:00:00,297181
2016-01-09 11:00:00,287048.6
2016-01-09 12:00:00,282479.6
2016-01-09 13:00:00,282869.4
2016-01-09 14:00:00,286892
2016-01-09 15:00:00,295777.2
2016-01-09 16:00:00,302475.4
2016-01-09 17:00:00,304110
2016-01-09 18:00:00,302757.9
2016-01-09 19:00:00,293864.6
2016-01-09 20:00:00,268554
2016-01-09 21:00:00,216995.1
2016-01-09 22:00:00,178899.4
2016-01-09 23:00:00,153896.1
2016-01-10 00:00:00,156856.3
2016-01-10 01:00:00,160736.8
2016-01-10 02:00:00,175069.4
2016-01-10 03:00:00,206162.1
2016-01-10 04:00:00,276987.4
2016-01-10 05:00:00,330094.9
2016-01-10 06:00:00,319844.3
2016-01-10 07:00:00,307065.7
2016-01-10 08:00:00,289902.5
2016-01-10 09:00:00,275601.5
2016-01-10 10:00:00,265394.3
2016-01-10 11:00:00,254810.9
2016-01-10 12:00:00,245273.9
2016-01-10 13:00:00,245867
2016-01-10 14:00:00,250967.7
2016-01-10 15:00:00,261685.8
2016-01-10 16:00:00,271685.7
2016-01-10 17:00:00,276072.7
2016-01-10 18:00:00,273152
2016-01-10 19:00:00,265950.9
2016-01-10 20:00:00,246505.8
2016-01-10 21:00:00,200177.2
2016-01-10 22:00:00,163179.7
2016-01-10 23:00:00,160215.5
2016-01-11 00:00:00,170820.3
2016-01-11 01:00:00,168689
2016-01-11 02:00:00,188538.5
2016-01-11 03:00:00,230770.8
2016-01-11 04:00:00,306319.7
2016-01-11 05:00:00,320199.4
2016-01-11 06:00:00,307505.6
2016-01-11 07:00:00,294603.1
2016-01-11 08:00:00,281058.6
2016-01-11 09:00:00,267183.8
2016-01-11 10:00:00,259237.1
2016-01-11 11:00:00,251184.1
2016-01-11 12:00:00,247232.3
2016-01-11 13:00:00,252297.4
2016-01-11 14:00:00,256584
2016-01-11 15:00:00,265879.5
2016-01-11 16:00:00,279638.1
2016-01-11 17:00:00,284197.6
2016-01-11 18:00:00,283355
2016-01-11 19:00:00,279035.4
2016-01-11 20:00:00,257150.3
2016-01-11 21:00:00,209536.4
2016-01-11 22:00:00,174545.6
2016-01-11 23:00:00,152515
2016-01-12 00:00:00,161804.2
2016-01-12 01:00:00,165871.7
2016-01-12 02:00:00,182053.8
2016-01-12 03:00:00,216945.4
2016-01-12 04:00:00,287642.2
2016-01-12 05:00:00,337205.6
2016-01-12 06:00:00,332707.1
2016-01-12 07:00:00,318901.9
2016-01-12 08:00:00,301256.8
2016-01-12 09:00:00,285506.8
2016-01-12 10:00:00,269892.4
2016-01-12 11:00:00,262546.3
2016-01-12 12:00:00,257495.5
2016-01-12 13:00:00,258143.4
2016-01-12 14:00:00,262403.4
2016-01-12 15:00:00,272268.3
2016-01-12 16:00:00,281667.1
2016-01-12 17:00:00,286940.2
2016-01-12 18:00:00,286917.2
2016-01-12 19:00:00,278379
2016-01-12 20:00:00,253608
2016-01-12 21:00:00,202790.5
2016-01-12 22:00:00,164758.3
2016-01-12 23:00:00,160090.7
2016-01-13 00:00:00,168904.6
2016-01-13 01:00:00,173046.9
2016-01-13 02:00:00,187698.8
2016-01-13 03:00:00,220357.3
2016-01-13 04:00:00,293160.9
2016-01-13 05:00:00,344182.4
2016-01-13 06:00:00,340395.9
2016-01-13 07:00:00,329451.3
2016-01-13 08:00:00,312225
2016-01-13 09:00:00,295933.5
2016-01-13 10:00:00,281468.4
2016-01-13 11:00:00,272938.3
2016-01-13 12:00:00,268806.1
2016-01-13 13:00:00,269410.4
2016-01-13 14:00:00,273473.6
2016-01-13 15:00:00,282041.7
2016-01-13 16:00:00,289463.8
2016-01-13 17:00:00,290177.5
2016-01-13 18:00:00,289317.1
2016-01-13 19:00:00,282230
2016-01-13 20:00:00,256766.7
2016-01-13 21:00:00,206021.1
2016-01-13 22:00:00,169742.3
2016-01-13 23:00:00,179519.9
2016-01-14 00:00:00,188598.9
2016-01-14 01:00:00,193518.8
2016-01-14 02:00:00,208653.2
2016-01-14 03:00:00,241822.2
2016-01-14 04:00:00,321712.8
2016-01-14 05:00:00,377244.2
2016-01-14 06:00:00,372585.3
2016-01-14 07:00:00,360996
2016-01-14 08:00:00,344380.4
2016-01-14 09:00:00,327738.6
2016-01-14 10:00:00,312112.9
2016-01-14 11:00:00,302851.8
2016-01-14 12:00:00,298582
2016-01-14 13:00:00,298983.6
2016-01-14 14:00:00,303509.2
2016-01-14 15:00:00,313282.3
2016-01-14 16:00:00,319888.7
2016-01-14 17:00:00,320088.3
2016-01-14 18:00:00,317983.6
