timesteps,Groningen
2016-01-01 00:00:00,488867.8
2016-01-01 01:00:00,474723.4
2016-01-01 02:00:00,469039.3
2016-01-01 03:00:00,470889.9
2016-01-01 04:00:00,485232.6
2016-01-01 05:00:00,524030.4
2016-01-01 06:00:00,583813.4
2016-01-01 07:00:00,637185.1
2016-01-01 08:00:00,657112.8
2016-01-01 09:00:00,665870.4
2016-01-01 10:00:00,668811.6
2016-01-01 11:00:00,667688
2016-01-01 12:00:00,667919.3
2016-01-01 13:00:00,665176.4
2016-01-01 14:00:00,665705.2
2016-01-01 15:00:00,673570.5
2016-01-01 16:00:00,692572.8
2016-01-01 17:00:00,671818.9
2016-01-01 18:00:00,647165.5
2016-01-01 19:00:00,623833.9
2016-01-01 20:00:00,595016.5
2016-01-01 21:00:00,562861.2
2016-01-01 22:00:00,533448.9
2016-01-01 23:00:00,513356
2016-01-02 00:00:00,486290.1
2016-01-02 01:00:00,469634.1
2016-01-02 02:00:00,460215.6
2016-01-02 03:00:00,456745.6
2016-01-02 04:00:00,463156.8
2016-01-02 05:00:00,482357.4
2016-01-02 06:00:00,514810.1
2016-01-02 07:00:00,561440.2
2016-01-02 08:00:00,589861.1
2016-01-02 09:00:00,602617.4
2016-01-02 10:00:00,609854.8
2016-01-02 11:00:00,611837.7
2016-01-02 12:00:00,605723.9
2016-01-02 13:00:00,608268.5
2016-01-02 14:00:00,608599
2016-01-02 15:00:00,618777.7
2016-01-02 16:00:00,640126.4
2016-01-02 17:00:00,624825.4
2016-01-02 18:00:00,600766.7
2016-01-02 19:00:00,581235.7
2016-01-02 20:00:00,562795.1
2016-01-02 21:00:00,536588.4
2016-01-02 22:00:00,506548.2
2016-01-02 23:00:00,480903.3
2016-01-03 00:00:00,457538.7
2016-01-03 01:00:00,443361.3
2016-01-03 02:00:00,441279.3
2016-01-03 03:00:00,445212
2016-01-03 04:00:00,452085.9
2016-01-03 05:00:00,463090.7
2016-01-03 06:00:00,485860.5
2016-01-03 07:00:00,521419.6
2016-01-03 08:00:00,551757.3
2016-01-03 09:00:00,573535.6
2016-01-03 10:00:00,592273.5
2016-01-03 11:00:00,608136.3
2016-01-03 12:00:00,612630.8
2016-01-03 13:00:00,612564.7
2016-01-03 14:00:00,619636.9
2016-01-03 15:00:00,640357.7
2016-01-03 16:00:00,670331.8
2016-01-03 17:00:00,664118.9
2016-01-03 18:00:00,650139.8
2016-01-03 19:00:00,636623.3
2016-01-03 20:00:00,618116.7
2016-01-03 21:00:00,592339.6
2016-01-03 22:00:00,562068.1
2016-01-03 23:00:00,534770.8
2016-01-04 00:00:00,515867.6
2016-01-04 01:00:00,503210.4
2016-01-04 02:00:00,501657.2
2016-01-04 03:00:00,504003.6
2016-01-04 04:00:00,519668.1
2016-01-04 05:00:00,563390
2016-01-04 06:00:00,629253.7
2016-01-04 07:00:00,693200.7
2016-01-04 08:00:00,714879.9
2016-01-04 09:00:00,719837
2016-01-04 10:00:00,720200.5
2016-01-04 11:00:00,714020.7
2016-01-04 12:00:00,713359.7
2016-01-04 13:00:00,712566.6
2016-01-04 14:00:00,710352.4
2016-01-04 15:00:00,721192
2016-01-04 16:00:00,745845.4
2016-01-04 17:00:00,718151.6
2016-01-04 18:00:00,695249.7
2016-01-04 19:00:00,677271.8
2016-01-04 20:00:00,654700.3
2016-01-04 21:00:00,613853.6
2016-01-04 22:00:00,579979.8
2016-01-04 23:00:00,554136.7
2016-01-05 00:00:00,533977.7
2016-01-05 01:00:00,517090.4
2016-01-05 02:00:00,511340.1
2016-01-05 03:00:00,511835.8
2016-01-05 04:00:00,521948.4
2016-01-05 05:00:00,561704.6
2016-01-05 06:00:00,629319.8
2016-01-05 07:00:00,691416.1
2016-01-05 08:00:00,714946
2016-01-05 09:00:00,724067.1
2016-01-05 10:00:00,722745.2
2016-01-05 11:00:00,716862.7
2016-01-05 12:00:00,720101.4
2016-01-05 13:00:00,718482.1
2016-01-05 14:00:00,719605.7
2016-01-05 15:00:00,733617.8
2016-01-05 16:00:00,753215
2016-01-05 17:00:00,723736.6
2016-01-05 18:00:00,702090.5
2016-01-05 19:00:00,680973.1
2016-01-05 20:00:00,646074.9
2016-01-05 21:00:00,604699.4
2016-01-05 22:00:00,568677.6
2016-01-05 23:00:00,533482
2016-01-06 00:00:00,505953.4
2016-01-06 01:00:00,489033
2016-01-06 02:00:00,480341.5
2016-01-06 03:00:00,479680.6
2016-01-06 04:00:00,493031.8
2016-01-06 05:00:00,535597
2016-01-06 06:00:00,601626
2016-01-06 07:00:00,661177.6
2016-01-06 08:00:00,684344
2016-01-06 09:00:00,691647.5
2016-01-06 10:00:00,692671.9
2016-01-06 11:00:00,685302.3
2016-01-06 12:00:00,691746.6
2016-01-06 13:00:00,696835.9
2016-01-06 14:00:00,702288.8
2016-01-06 15:00:00,712500.5
2016-01-06 16:00:00,738508.9
2016-01-06 17:00:00,715012.1
2016-01-06 18:00:00,690623
2016-01-06 19:00:00,675520.3
2016-01-06 20:00:00,648487.4
2016-01-06 21:00:00,608764.3
2016-01-06 22:00:00,571883.2
2016-01-06 23:00:00,541512.5
2016-01-07 00:00:00,512430.7
2016-01-07 01:00:00,494386.7
2016-01-07 02:00:00,486124.8
2016-01-07 03:00:00,484307.2
2016-01-07 04:00:00,496435.7
2016-01-07 05:00:00,535101.3
2016-01-07 06:00:00,592075.2
2016-01-07 07:00:00,647925.6
2016-01-07 08:00:00,677238.7
2016-01-07 09:00:00,679221.6
2016-01-07 10:00:00,679849.5
2016-01-07 11:00:00,665341.6
2016-01-07 12:00:00,663259.6
2016-01-07 13:00:00,662334.3
2016-01-07 14:00:00,660120.1
2016-01-07 15:00:00,668382
2016-01-07 16:00:00,693498.1
2016-01-07 17:00:00,669043
2016-01-07 18:00:00,641646.5
2016-01-07 19:00:00,620793.6
2016-01-07 20:00:00,595082.6
2016-01-07 21:00:00,568677.6
2016-01-07 22:00:00,546304.4
2016-01-07 23:00:00,499443
2016-01-08 00:00:00,485893.5
2016-01-08 01:00:00,474954.8
2016-01-08 02:00:00,465833.7
2016-01-08 03:00:00,463883.9
2016-01-08 04:00:00,472839.7
2016-01-08 05:00:00,497889.8
2016-01-08 06:00:00,533647.2
2016-01-08 07:00:00,569239.4
2016-01-08 08:00:00,586192.8
2016-01-08 09:00:00,601328.6
2016-01-08 10:00:00,609028.6
2016-01-08 11:00:00,610515.8
2016-01-08 12:00:00,613523.1
2016-01-08 13:00:00,614448.4
2016-01-08 14:00:00,615175.5
2016-01-08 15:00:00,621685.8
2016-01-08 16:00:00,640919.5
2016-01-08 17:00:00,627303.9
2016-01-08 18:00:00,606517
2016-01-08 19:00:00,587779.1
2016-01-08 20:00:00,566430.4
2016-01-08 21:00:00,538439.1
2016-01-08 22:00:00,510778.3
2016-01-08 23:00:00,507407.5
2016-01-09 00:00:00,476640.2
2016-01-09 01:00:00,458331.9
2016-01-09 02:00:00,449078.6
2016-01-09 03:00:00,446732.2
2016-01-09 04:00:00,451689.3
2016-01-09 05:00:00,469138.4
2016-01-09 06:00:00,498451.6
2016-01-09 07:00:00,542470.9
2016-01-09 08:00:00,573634.7
2016-01-09 09:00:00,591612.6
2016-01-09 10:00:00,601692.1
2016-01-09 11:00:00,601791.2
2016-01-09 12:00:00,593066.7
2016-01-09 13:00:00,593793.7
2016-01-09 14:00:00,596536.7
2016-01-09 15:00:00,607772.8
2016-01-09 16:00:00,637251.2
2016-01-09 17:00:00,626775.2
2016-01-09 18:00:00,607475.4
2016-01-09 19:00:00,587283.4
2016-01-09 20:00:00,568743.7
2016-01-09 21:00:00,543131.8
2016-01-09 22:00:00,514975.3
2016-01-09 23:00:00,492635.2
2016-01-10 00:00:00,469799.4
2016-01-10 01:00:00,452680.7
2016-01-10 02:00:00,441246.3
2016-01-10 03:00:00,436520.5
2016-01-10 04:00:00,440519.2
2016-01-10 05:00:00,450631.8
2016-01-10 06:00:00,472046.6
2016-01-10 07:00:00,508993.7
2016-01-10 08:00:00,537943.4
2016-01-10 09:00:00,558168.5
2016-01-10 10:00:00,574791.4
2016-01-10 11:00:00,591183
2016-01-10 12:00:00,594256.4
2016-01-10 13:00:00,596602.8
2016-01-10 14:00:00,606781.4
2016-01-10 15:00:00,626477.7
2016-01-10 16:00:00,654601.2
2016-01-10 17:00:00,637052.9
2016-01-10 18:00:00,621619.7
2016-01-10 19:00:00,607343.2
2016-01-10 20:00:00,592471.8
2016-01-10 21:00:00,568016.6
2016-01-10 22:00:00,535299.6
2016-01-10 23:00:00,516991.2
2016-01-11 00:00:00,503441.8
2016-01-11 01:00:00,493858
2016-01-11 02:00:00,494485.9
2016-01-11 03:00:00,497922.8
2016-01-11 04:00:00,514644.9
2016-01-11 05:00:00,558366.8
2016-01-11 06:00:00,614481.5
2016-01-11 07:00:00,675156.8
2016-01-11 08:00:00,699843.3
2016-01-11 09:00:00,708204.3
2016-01-11 10:00:00,711707.3
2016-01-11 11:00:00,708072.1
2016-01-11 12:00:00,709261.8
2016-01-11 13:00:00,706618
2016-01-11 14:00:00,703015.8
2016-01-11 15:00:00,713062.3
2016-01-11 16:00:00,737385.3
2016-01-11 17:00:00,703048.9
2016-01-11 18:00:00,677370.9
2016-01-11 19:00:00,663457.9
2016-01-11 20:00:00,639729.8
2016-01-11 21:00:00,598949.1
2016-01-11 22:00:00,568776.7
2016-01-11 23:00:00,542702.2
2016-01-12 00:00:00,525980.2
2016-01-12 01:00:00,510348.7
2016-01-12 02:00:00,504267.9
2016-01-12 03:00:00,505854.2
2016-01-12 04:00:00,516528.6
2016-01-12 05:00:00,556218.7
2016-01-12 06:00:00,618942.9
2016-01-12 07:00:00,683187.3
2016-01-12 08:00:00,708865.2
2016-01-12 09:00:00,720464.9
2016-01-12 10:00:00,723174.8
2016-01-12 11:00:00,720498
2016-01-12 12:00:00,722877.4
2016-01-12 13:00:00,721291.1
2016-01-12 14:00:00,720630.2
2016-01-12 15:00:00,728495.5
2016-01-12 16:00:00,747200.4
2016-01-12 17:00:00,719903.1
2016-01-12 18:00:00,695778.4
2016-01-12 19:00:00,676016
2016-01-12 20:00:00,644753
2016-01-12 21:00:00,606384.8
2016-01-12 22:00:00,572081.5
2016-01-12 23:00:00,530111.1
2016-01-13 00:00:00,506184.7
2016-01-13 01:00:00,491676.8
2016-01-13 02:00:00,485430.8
2016-01-13 03:00:00,485298.7
2016-01-13 04:00:00,497460.2
2016-01-13 05:00:00,538009.5
2016-01-13 06:00:00,606087.4
2016-01-13 07:00:00,657145.8
2016-01-13 08:00:00,677899.7
2016-01-13 09:00:00,683451.7
2016-01-13 10:00:00,682658.5
2016-01-13 11:00:00,679651.2
2016-01-13 12:00:00,683550.8
2016-01-13 13:00:00,683583.9
2016-01-13 14:00:00,683220.3
2016-01-13 15:00:00,691151.8
2016-01-13 16:00:00,718779.5
2016-01-13 17:00:00,694853.1
2016-01-13 18:00:00,670166.6
2016-01-13 19:00:00,647958.6
2016-01-13 20:00:00,623371.3
2016-01-13 21:00:00,585895.4
2016-01-13 22:00:00,550633.6
2016-01-13 23:00:00,523964.3
2016-01-14 00:00:00,497724.5
2016-01-14 01:00:00,480572.9
2016-01-14 02:00:00,471683.1
2016-01-14 03:00:00,471716.1
