timesteps,Groningen
2016-01-01 00:00:00,411920.8992
2016-01-01 01:00:00,421939.5454
2016-01-01 02:00:00,468277.9347
2016-01-01 03:00:00,575340.5921
2016-01-01 04:00:00,763156.0572
2016-01-01 05:00:00,902892.9878
2016-01-01 06:00:00,895166.2074
2016-01-01 07:00:00,864669.2665
2016-01-01 08:00:00,798741.0957
2016-01-01 09:00:00,747595.5187
2016-01-01 10:00:00,707177.4833
2016-01-01 11:00:00,685945.0334
2016-01-01 12:00:00,672443.4785
2016-01-01 13:00:00,674426.2311
2016-01-01 14:00:00,684683.8938
2016-01-01 15:00:00,706310.7397
2016-01-01 16:00:00,736027.3421
2016-01-01 17:00:00,744343.547
2016-01-01 18:00:00,751210.2419
2016-01-01 19:00:00,734138.9243
2016-01-01 20:00:00,665655.9321
2016-01-01 21:00:00,522110.4467
2016-01-01 22:00:00,418534.1393
2016-01-01 23:00:00,430751.2141
2016-01-02 00:00:00,454427.0939
2016-01-02 01:00:00,465875.0515
2016-01-02 02:00:00,502058.5665
2016-01-02 03:00:00,594211.2293
2016-01-02 04:00:00,792810.4928
2016-01-02 05:00:00,952097.4063
2016-01-02 06:00:00,944814.6206
2016-01-02 07:00:00,913167.6323
2016-01-02 08:00:00,860494.4441
2016-01-02 09:00:00,814954.198
2016-01-02 10:00:00,774613.3661
2016-01-02 11:00:00,748566.3224
2016-01-02 12:00:00,735069.3308
2016-01-02 13:00:00,736777.3827
2016-01-02 14:00:00,747268.0024
2016-01-02 15:00:00,769578.0841
2016-01-02 16:00:00,792080.0522
2016-01-02 17:00:00,801060.6409
2016-01-02 18:00:00,801081.9617
2016-01-02 19:00:00,778731.3332
2016-01-02 20:00:00,710483.1682
2016-01-02 21:00:00,567934.0714
2016-01-02 22:00:00,463334.9677
2016-01-02 23:00:00,428574.1062
2016-01-03 00:00:00,440555.2316
2016-01-03 01:00:00,448455.645
2016-01-03 02:00:00,494451.7058
2016-01-03 03:00:00,592844.5334
2016-01-03 04:00:00,795712.1313
2016-01-03 05:00:00,949046.6723
2016-01-03 06:00:00,923155.3821
2016-01-03 07:00:00,882603.9613
2016-01-03 08:00:00,827791.7433
2016-01-03 09:00:00,782298.702
2016-01-03 10:00:00,751431.3042
2016-01-03 11:00:00,723219.8702
2016-01-03 12:00:00,689999.6369
2016-01-03 13:00:00,691854.3155
2016-01-03 14:00:00,708578.8908
2016-01-03 15:00:00,739489.1545
2016-01-03 16:00:00,770532.4297
2016-01-03 17:00:00,787846.3547
2016-01-03 18:00:00,781082.0741
2016-01-03 19:00:00,763593.768
2016-01-03 20:00:00,704380.7278
2016-01-03 21:00:00,570947.4754
2016-01-03 22:00:00,458860.3833
2016-01-03 23:00:00,478849.7228
2016-01-04 00:00:00,507923.3369
2016-01-04 01:00:00,503123.1814
2016-01-04 02:00:00,560851.4013
2016-01-04 03:00:00,683755.4323
2016-01-04 04:00:00,906032.2963
2016-01-04 05:00:00,948270.5979
2016-01-04 06:00:00,910638.0218
2016-01-04 07:00:00,874895.584
2016-01-04 08:00:00,835484.4853
2016-01-04 09:00:00,795342.2728
2016-01-04 10:00:00,772267.039
2016-01-04 11:00:00,748174.021
2016-01-04 12:00:00,736886.6795
2016-01-04 13:00:00,751538.4315
2016-01-04 14:00:00,764853.561
2016-01-04 15:00:00,790936.0644
2016-01-04 16:00:00,831114.4848
2016-01-04 17:00:00,843879.6144
2016-01-04 18:00:00,840316.2853
2016-01-04 19:00:00,826506.889
2016-01-04 20:00:00,762436.3892
2016-01-04 21:00:00,621388.1218
2016-01-04 22:00:00,520390.7245
2016-01-04 23:00:00,463282.3766
2016-01-05 00:00:00,489666.2877
2016-01-05 01:00:00,501911.5657
2016-01-05 02:00:00,548547.7719
2016-01-05 03:00:00,648336.6956
2016-01-05 04:00:00,857600.2117
2016-01-05 05:00:00,1004872.56
2016-01-05 06:00:00,990888.4085
2016-01-05 07:00:00,952794.9306
2016-01-05 08:00:00,903066.9949
2016-01-05 09:00:00,856967.3229
2016-01-05 10:00:00,811286.5096
2016-01-05 11:00:00,789290.5533
2016-01-05 12:00:00,774467.7867
2016-01-05 13:00:00,775992.63
2016-01-05 14:00:00,787594.3961
2016-01-05 15:00:00,816130.4287
2016-01-05 16:00:00,843377.0438
2016-01-05 17:00:00,857255.7885
2016-01-05 18:00:00,855748.6751
2016-01-05 19:00:00,828757.0859
2016-01-05 20:00:00,755898.1083
2016-01-05 21:00:00,608488.2602
2016-01-05 22:00:00,497629.1671
2016-01-05 23:00:00,504778.717
2016-01-06 00:00:00,530590.0357
2016-01-06 01:00:00,543516.4548
2016-01-06 02:00:00,587210.7001
2016-01-06 03:00:00,682613.9132
2016-01-06 04:00:00,904971.1226
2016-01-06 05:00:00,1062056.465
2016-01-06 06:00:00,1049323.878
2016-01-06 07:00:00,1020180.99
2016-01-06 08:00:00,968836.4946
2016-01-06 09:00:00,919876.8531
2016-01-06 10:00:00,876407.7845
2016-01-06 11:00:00,850078.7088
2016-01-06 12:00:00,836337.0151
2016-01-06 13:00:00,838525.6437
2016-01-06 14:00:00,850540.1341
2016-01-06 15:00:00,876053.0376
2016-01-06 16:00:00,897391.2682
2016-01-06 17:00:00,898164.5746
2016-01-06 18:00:00,894095.1589
2016-01-06 19:00:00,870493.0413
2016-01-06 20:00:00,791999.1831
2016-01-06 21:00:00,640810.8536
2016-01-06 22:00:00,532265.4707
2016-01-06 23:00:00,487956.4404
2016-01-07 00:00:00,512891.8888
2016-01-07 01:00:00,525993.063
2016-01-07 02:00:00,568913.8522
2016-01-07 03:00:00,662675.4443
2016-01-07 04:00:00,879165.0405
2016-01-07 05:00:00,1032291.686
2016-01-07 06:00:00,1019685.452
2016-01-07 07:00:00,990292.1015
2016-01-07 08:00:00,939811.5067
2016-01-07 09:00:00,892494.1594
2016-01-07 10:00:00,849796.6767
2016-01-07 11:00:00,824866.5398
2016-01-07 12:00:00,811638.1893
2016-01-07 13:00:00,813364.0459
2016-01-07 14:00:00,825268.8656
2016-01-07 15:00:00,850915.9026
2016-01-07 16:00:00,871447.4617
2016-01-07 17:00:00,872941.5583
2016-01-07 18:00:00,869107.3438
2016-01-07 19:00:00,846566.6991
2016-01-07 20:00:00,770218.6035
2016-01-07 21:00:00,621725.0641
2016-01-07 22:00:00,515246.1457
2016-01-07 23:00:00,486450.0002
2016-01-08 00:00:00,511966.3449
2016-01-08 01:00:00,524538.3162
2016-01-08 02:00:00,566167.5184
2016-01-08 03:00:00,657918.4539
2016-01-08 04:00:00,875826.3646
2016-01-08 05:00:00,1026638.103
2016-01-08 06:00:00,1014795.525
2016-01-08 07:00:00,982575.944
2016-01-08 08:00:00,936627.7613
2016-01-08 09:00:00,890220.9213
2016-01-08 10:00:00,847703.0563
2016-01-08 11:00:00,821925.2522
2016-01-08 12:00:00,810282.5653
2016-01-08 13:00:00,811970.1194
2016-01-08 14:00:00,824212.8538
2016-01-08 15:00:00,849986.1693
2016-01-08 16:00:00,869401.2705
2016-01-08 17:00:00,869811.2269
2016-01-08 18:00:00,864837.5132
2016-01-08 19:00:00,843303.5808
2016-01-08 20:00:00,767794.1753
2016-01-08 21:00:00,619142.638
2016-01-08 22:00:00,513241.2494
2016-01-08 23:00:00,478848.825
2016-01-09 00:00:00,502454.2342
2016-01-09 01:00:00,516121.8664
2016-01-09 02:00:00,549996.3842
2016-01-09 03:00:00,637620.0762
2016-01-09 04:00:00,852075.376
2016-01-09 05:00:00,1018171.007
2016-01-09 06:00:00,1008280.285
2016-01-09 07:00:00,974454.4683
2016-01-09 08:00:00,928994.7921
2016-01-09 09:00:00,885538.1419
2016-01-09 10:00:00,844064.394
2016-01-09 11:00:00,815285.9036
2016-01-09 12:00:00,802309.0629
2016-01-09 13:00:00,803416.0948
2016-01-09 14:00:00,814841.1607
2016-01-09 15:00:00,840077.3436
2016-01-09 16:00:00,859101.7893
2016-01-09 17:00:00,863744.3211
2016-01-09 18:00:00,859904.047
2016-01-09 19:00:00,834644.8976
2016-01-09 20:00:00,762756.9482
2016-01-09 21:00:00,616317.3801
2016-01-09 22:00:00,508116.6448
2016-01-09 23:00:00,437101.3489
2016-01-10 00:00:00,445509.046
2016-01-10 01:00:00,456530.664
2016-01-10 02:00:00,497238.4368
2016-01-10 03:00:00,585549.2545
2016-01-10 04:00:00,786709.8478
2016-01-10 05:00:00,937547.6945
2016-01-10 06:00:00,908433.5336
2016-01-10 07:00:00,872139.1509
2016-01-10 08:00:00,823391.5944
2016-01-10 09:00:00,782773.3687
2016-01-10 10:00:00,753782.6435
2016-01-10 11:00:00,723723.189
2016-01-10 12:00:00,696635.9931
2016-01-10 13:00:00,698320.5548
2016-01-10 14:00:00,712807.651
2016-01-10 15:00:00,743249.6816
2016-01-10 16:00:00,771651.5807
2016-01-10 17:00:00,784111.7866
2016-01-10 18:00:00,775816.3038
2016-01-10 19:00:00,755363.594
2016-01-10 20:00:00,700134.8363
2016-01-10 21:00:00,568550.6518
2016-01-10 22:00:00,463468.9516
2016-01-10 23:00:00,455050.0331
2016-01-11 00:00:00,485170.1582
2016-01-11 01:00:00,479116.5685
2016-01-11 02:00:00,535494.027
2016-01-11 03:00:00,655443.8284
2016-01-11 04:00:00,870020.5441
2016-01-11 05:00:00,909442.0413
2016-01-11 06:00:00,873388.6202
2016-01-11 07:00:00,836742.4081
2016-01-11 08:00:00,798273.0122
2016-01-11 09:00:00,758865.1304
2016-01-11 10:00:00,736294.8611
2016-01-11 11:00:00,713422.3611
2016-01-11 12:00:00,702198.2337
2016-01-11 13:00:00,716584.2621
2016-01-11 14:00:00,728759.3687
2016-01-11 15:00:00,755160.6357
2016-01-11 16:00:00,794238.4577
2016-01-11 17:00:00,807188.5914
2016-01-11 18:00:00,804795.3587
2016-01-11 19:00:00,792526.5157
2016-01-11 20:00:00,730367.6995
2016-01-11 21:00:00,595133.1075
2016-01-11 22:00:00,495750.699
2016-01-11 23:00:00,433178.6347
2016-01-12 00:00:00,459562.3215
2016-01-12 01:00:00,471115.0125
2016-01-12 02:00:00,517075.9876
2016-01-12 03:00:00,616176.2893
2016-01-12 04:00:00,816971.9615
2016-01-12 05:00:00,957743.7328
2016-01-12 06:00:00,944966.7832
2016-01-12 07:00:00,905756.7727
2016-01-12 08:00:00,855640.7249
